Age,Attrition,Department,MonthlyIncome,PerformanceRating,YearsAtCompany
51,No,Research & Development,5482,3,4
41,No,Sales,16015,3,22
18,No,Sales,1200,3,0
28,No,Research & Development,5661,3,8
31,No,Sales,6929,3,8
39,No,Research & Development,9613,3,18
36,No,Research & Development,5674,3,9
32,No,Sales,5484,3,13
38,No,Research & Development,12061,3,10
58,No,Research & Development,5660,3,5
31,No,Research & Development,4821,3,5
31,No,Human Resources,6410,3,2
45,No,Research & Development,5210,3,24
31,No,Research & Development,2695,3,2
33,No,Research & Development,11878,3,10
39,No,Research & Development,17068,3,21
43,No,Research & Development,2455,3,8
49,No,Research & Development,13964,3,7
52,Yes,Research & Development,4941,3,8
27,No,Research & Development,2478,3,4
32,No,Sales,5228,3,13
27,No,Sales,4478,3,5
31,No,Sales,7547,3,7
32,No,Research & Development,5055,3,7
28,Yes,Research & Development,3464,3,3
55,No,Research & Development,19045,3,36
30,No,Research & Development,5775,3,10
31,No,Research & Development,8943,4,10
39,No,Research & Development,19272,3,21
39,Yes,Sales,5238,3,1
33,No,Sales,4682,3,7
47,No,Research & Development,18300,3,3
43,No,Research & Development,5257,3,9
27,No,Sales,6349,3,5
54,No,Research & Development,4869,3,4
43,No,Research & Development,9985,3,1
45,No,Research & Development,3697,3,10
40,No,Sales,7457,4,4
29,Yes,Research & Development,2119,3,7
29,No,Research & Development,3983,3,3
30,No,Sales,6118,3,10
27,No,Sales,6214,3,8
37,No,Research & Development,6347,3,6
38,No,Research & Development,11510,3,11
31,No,Research & Development,7143,3,11
29,No,Sales,8268,3,7
35,No,Research & Development,8095,3,16
23,No,Research & Development,2904,3,4
41,No,Research & Development,6032,3,5
47,No,Sales,2976,3,0
42,No,Research & Development,15992,3,1
29,No,Sales,4649,3,4
42,No,Human Resources,2696,3,3
32,No,Research & Development,2370,3,8
48,No,Sales,12504,4,0
37,No,Research & Development,5974,3,7
30,No,Sales,4736,3,2
26,No,Sales,5296,3,8
42,No,Research & Development,6781,4,1
21,Yes,Sales,2174,3,3
36,No,Sales,6653,3,1
36,No,Sales,9699,3,13
57,No,Research & Development,6755,3,3
40,No,Research & Development,2213,3,7
21,No,Sales,2610,4,3
33,Yes,Sales,2851,3,1
37,No,Research & Development,3452,4,5
46,No,Research & Development,5258,3,1
41,Yes,Sales,9355,3,8
50,No,Research & Development,10496,3,4
40,Yes,Sales,6380,3,6
31,No,Research & Development,2657,3,2
21,Yes,Sales,2716,3,1
29,No,Research & Development,2201,3,3
35,No,Research & Development,6540,3,1
27,No,Research & Development,3816,3,5
28,No,Sales,5253,3,7
49,No,Research & Development,10965,4,5
51,No,Sales,4936,3,7
36,No,Research & Development,2543,3,2
34,Yes,,5304,3,5
55,No,Research & Development,16659,3,5
24,No,Sales,4260,3,5
30,No,Sales,2476,3,1
26,Yes,Research & Development,3102,4,6
22,No,Research & Development,2244,3,2
36,No,Sales,7596,3,10
30,Yes,Research & Development,2285,4,1
37,No,Research & Development,3034,3,18
40,No,Sales,5715,3,5
42,No,Research & Development,2576,3,5
37,No,Research & Development,4197,3,1
43,No,Research & Development,14336,3,
40,No,Research & Development,3448,4,1
54,No,Research & Development,19406,3,4
34,No,Sales,6538,3,3
37,No,Research & Development,6347,3,6
31,No,Research & Development,4306,3,13
43,No,Research & Development,2258,4,3
43,No,Research & Development,4522,3,5
25,No,Sales,4487,3,5
37,No,Research & Development,4449,3,13
31,No,Research & Development,2218,3,4
39,No,Research & Development,19197,3,21
56,No,Sales,13212,3,7
30,No,Sales,6577,3,5
41,No,Sales,8392,3,10
28,No,Research & Development,4558,3,10
25,Yes,Research & Development,4031,3,2
52,No,Research & Development,7969,3,5
45,No,Research & Development,2654,4,2
52,No,Research & Development,16555,3,5
42,No,Research & Development,4556,3,5
30,No,Research & Development,6091,4,5
60,No,Research & Development,19566,3,29
46,No,Research & Development,4810,3,10
42,No,Research & Development,4523,3,6
24,Yes,Sales,3202,3,5
34,Yes,Sales,2351,3,2
38,No,Research & Development,1702,4,1
40,No,Sales,18041,3,20
26,No,Research & Development,2886,4,3
30,No,Research & Development,2097,3,5
29,No,Research & Development,11935,3,10
29,Yes,Research & Development,2546,3,2
19,Yes,Human Resources,2564,3,1
30,No,Sales,8412,3,9
57,No,Sales,14118,3,1
50,No,Research & Development,17046,3,27
30,No,Research & Development,2564,3,11
60,No,Sales,10266,3,18
47,No,Research & Development,5070,3,5
46,No,Research & Development,17861,3,3
35,No,Research & Development,4230,3,5
54,No,Research & Development,3780,3,1
34,No,Research & Development,2768,3,7
46,No,Sales,9071,3,3
31,No,Research & Development,10648,4,13
33,Yes,Research & Development,13610,3,7
33,Yes,Research & Development,3408,3,4
30,No,Sales,2983,3,3
35,No,Research & Development,7632,3,8
31,Yes,Research & Development,9824,3,1
34,Yes,Human Resources,9950,3,3
42,No,Research & Development,2093,3,2
36,No,Sales,9980,3,10
22,Yes,Research & Development,3894,3,2
48,No,Sales,4051,3,9
55,No,Sales,16835,4,10
41,No,Sales,6230,3,14
35,No,Sales,4717,3,11
40,No,Research & Development,13237,3,20
39,No,Research & Development,3755,3,8
31,No,Sales,6582,3,6
42,No,Research & Development,7406,4,10
45,No,Sales,4805,3,8
26,Yes,Human Resources,2741,3,7
29,No,Research & Development,4262,3,3
33,No,Research & Development,16184,3,6
31,No,Sales,11557,4,5
18,Yes,Sales,1878,3,0
40,No,Sales,10932,3,1
41,No,Research & Development,6811,3,8
26,No,Sales,4306,3,0
35,No,Sales,4859,3,5
34,No,Sales,5337,3,10
26,Yes,Research & Development,2340,3,1
37,No,Research & Development,7491,3,6
46,No,Research & Development,10527,3,2
41,No,Sales,16595,3,18
37,No,Sales,8834,3,9
52,No,Research & Development,5577,3,10
32,Yes,Sales,4707,3,4
24,No,Sales,2400,3,2
38,No,Research & Development,9824,3,1
37,No,Research & Development,6447,3,6
49,No,Research & Development,19502,3,31
24,No,Research & Development,2725,3,6
26,No,Sales,6272,4,5
24,No,Research & Development,2127,4,1
50,No,Human Resources,18200,3,32
25,No,Sales,2096,3,7
24,Yes,Research & Development,2886,3,6
30,Yes,Sales,2033,3,1
34,No,Research & Development,3622,3,6
31,Yes,Sales,4233,3,3
35,No,Research & Development,3681,3,3
31,No,Sales,5460,4,7
27,No,Research & Development,2187,3,5
37,No,Sales,9602,3,3
20,No,Research & Development,2836,3,1
42,No,Research & Development,4089,3,10
43,No,Research & Development,16627,3,1
38,No,Research & Development,2619,3,0
43,No,Research & Development,5679,3,8
48,No,Research & Development,15402,3,3
44,No,Human Resources,5985,3,2
34,No,Sales,2579,3,8
27,Yes,Sales,3041,3,4
21,No,Sales,3447,3,3
44,No,Research & Development,19513,3,2
22,No,Research & Development,2773,4,2
33,No,Sales,7104,3,5
32,No,Research & Development,6322,3,6
30,No,Research & Development,2083,4,1
53,No,Sales,8381,4,14
34,No,Research & Development,2691,3,10
45,Yes,Sales,4286,3,1
26,No,Research & Development,2659,3,3
37,No,Research & Development,9434,3,10
29,No,Sales,5561,3,6
35,No,Research & Development,6646,3,17
33,No,Research & Development,7725,4,13
54,No,Human Resources,10725,3,9
36,No,Research & Development,8847,3,3
27,No,Research & Development,2045,3,4
20,Yes,Research & Development,1009,3,1
33,Yes,Research & Development,3348,3,10
35,No,Research & Development,1281,3,1
23,No,Research & Development,2819,3,3
25,No,Sales,4851,4,3
38,No,Sales,4028,4,7
29,No,Research & Development,2720,3,10
48,No,Sales,8120,3,2
27,No,Sales,4647,4,6
37,No,Research & Development,4680,3,1
50,No,Research & Development,3221,3,20
34,No,Research & Development,8621,3,8
24,Yes,Sales,4577,3,2
39,No,Research & Development,4553,3,20
32,No,Sales,5396,3,10
50,Yes,Sales,6796,3,4
38,No,Research & Development,7625,3,9
27,No,Research & Development,7412,3,9
32,No,Research & Development,11159,3,7
47,No,Sales,4960,3,7
40,No,Sales,10475,4,18
53,No,Research & Development,14814,3,5
41,No,Human Resources,19141,3,21
60,No,Sales,5405,3,2
27,No,Research & Development,8793,4,9
41,No,Human Resources,19189,3,22
50,No,Sales,3875,3,2
28,Yes,Research & Development,2216,3,7
36,No,Research & Development,11713,3,8
38,No,Research & Development,7861,3,1
44,No,Research & Development,3708,3,5
47,No,Sales,13770,3,22
30,No,Sales,5304,4,8
29,No,Sales,2642,3,1
42,Yes,Research & Development,2759,3,2
43,No,Sales,6804,3,2
34,No,Research & Development,6142,3,5
23,No,Research & Development,2500,3,4
39,No,Human Resources,6389,3,8
56,No,Research & Development,11103,3,10
40,No,Research & Development,2342,4,4
27,No,Research & Development,6811,3,7
29,No,Sales,2297,3,2
53,No,Research & Development,2450,3,2
35,No,Research & Development,5093,3,1
32,No,Research & Development,5309,3,10
38,No,Research & Development,3057,3,1
34,No,Research & Development,5121,3,0
52,No,Sales,16856,3,34
33,Yes,Research & Development,2686,3,10
25,No,Sales,6180,4,6
45,No,Sales,6632,3,8
23,No,Research & Development,3505,3,2
47,Yes,Sales,6397,3,5
34,No,Sales,6274,4,6
55,Yes,Research & Development,19859,3,5
36,No,Sales,7587,3,10
52,No,Research & Development,4258,3,4
26,No,Research & Development,4364,3,2
29,No,Research & Development,4335,3,8
26,Yes,Sales,5326,3,4
34,No,Research & Development,3280,3,4
54,No,Research & Development,,3,5
27,No,Sales,4342,3,4
37,No,Research & Development,2782,3,5
38,No,Research & Development,5980,3,15
34,No,Research & Development,4381,3,6
35,No,Sales,2572,3,3
30,No,Research & Development,3833,4,2
40,No,Research & Development,4244,4,8
34,No,Sales,6500,3,3
42,No,Research & Development,18430,3,24
23,Yes,Research & Development,1601,4,0
24,No,Research & Development,2694,3,1
52,No,Research & Development,3149,4,5
50,No,Research & Development,17639,3,4
29,Yes,Research & Development,2319,3,1
33,No,Research & Development,11691,3,13
33,Yes,Sales,5324,3,3
47,No,Research & Development,16752,3,26
36,No,Research & Development,5228,3,9
29,No,Research & Development,2700,4,10
58,Yes,Research & Development,19246,3,31
35,No,Research & Development,2506,3,2
42,No,Research & Development,6062,3,4
28,Yes,Research & Development,4382,3,2
36,No,Human Resources,2143,3,5
32,No,Research & Development,6162,3,14
40,No,Research & Development,5094,3,1
30,No,Research & Development,6877,4,0
45,No,Research & Development,2274,3,1
42,No,Research & Development,4434,3,9
38,No,Research & Development,6288,3,4
34,No,Research & Development,2553,3,5
49,Yes,Sales,7654,3,9
55,Yes,Sales,5160,3,9
43,No,Research & Development,17159,4,4
27,No,Research & Development,12808,3,9
35,No,Research & Development,10221,4,8
28,No,Sales,4779,4,8
34,No,Human Resources,3737,3,3
26,Yes,Research & Development,2366,3,8
27,No,Research & Development,1706,3,0
51,No,Sales,16307,3,20
44,No,Research & Development,5933,3,5
25,No,Research & Development,3424,3,4
33,No,Sales,4037,4,9
35,No,Research & Development,2559,3,6
36,No,Sales,6201,3,18
32,No,Sales,4403,3,5
30,No,Research & Development,3761,3,5
53,No,Sales,10934,3,5
45,No,Sales,10761,3,5
32,No,Research & Development,5175,3,5
52,No,Research & Development,13826,4,9
37,No,Sales,6334,3,1
28,No,Human Resources,4936,3,5
22,No,Research & Development,4775,4,2
44,No,Research & Development,2818,4,3
42,No,Research & Development,2515,3,2
36,No,Human Resources,2342,4,5
25,No,Sales,4194,3,5
35,No,Research & Development,10685,4,17
35,Yes,Research & Development,2022,3,10
32,No,Research & Development,2314,3,3
25,No,Sales,4256,3,5
49,No,Research & Development,3580,3,4
24,No,Research & Development,3162,3,5
32,No,Sales,6524,3,10
38,No,Sales,2899,3,2
42,No,Research & Development,5231,3,5
31,No,Research & Development,2356,3,6
29,Yes,Sales,2800,3,3
53,No,Sales,11836,3,2
35,No,Research & Development,10903,3,13
37,No,Sales,2973,3,5
53,No,Research & Development,14275,3,12
43,No,Research & Development,5562,3,5
47,No,Sales,4537,4,7
37,No,Sales,7642,3,10
50,No,Research & Development,17924,3,31
39,No,Human Resources,5204,3,5
33,No,Human Resources,2277,3,4
32,Yes,Research & Development,2795,4,1
29,No,Research & Development,2532,3,4
44,No,Research & Development,2559,3,8
28,No,Sales,4908,3,4
58,Yes,Research & Development,2380,3,1
43,No,Research & Development,4765,4,1
20,Yes,Sales,2044,3,2
21,Yes,Research & Development,2693,3,1
36,No,Research & Development,6586,3,16
47,No,Sales,3294,3,3
22,Yes,Research & Development,4171,3,3
41,Yes,Research & Development,2778,3,7
28,No,Research & Development,2377,3,2
39,Yes,Research & Development,2404,4,2
27,No,Research & Development,2318,3,1
34,No,Research & Development,2008,3,1
42,No,Sales,6244,3,5
33,No,Research & Development,2799,3,3
58,No,Research & Development,10552,3,6
31,No,Sales,2329,3,7
35,No,Research & Development,4014,4,10
49,No,Research & Development,7403,3,26
48,No,Research & Development,2259,3,0
31,No,Sales,6932,3,9
36,No,Research & Development,4678,3,6
38,No,Research & Development,13582,3,15
32,No,Research & Development,2332,4,3
25,Yes,Sales,2413,3,1
40,No,Sales,9705,3,1
26,No,Sales,4294,3,7
41,No,Research & Development,4721,3,18
36,No,Research & Development,2519,4,11
19,Yes,Sales,2121,3,1
20,Yes,Research & Development,2973,3,1
31,No,Research & Development,5855,3,9
40,No,Research & Development,3617,3,1
32,No,Research & Development,6725,3,8
36,Yes,Sales,10325,3,16
33,No,Research & Development,6949,3,5
37,Yes,Sales,10609,3,14
45,No,Research & Development,4447,3,9
29,No,Sales,2157,3,3
35,No,Sales,4601,3,5
52,No,Research & Development,17099,3,9
58,Yes,Research & Development,2479,4,1
53,No,Sales,14852,3,17
30,No,Sales,7264,3,8
38,No,Sales,5666,3,5
35,No,Sales,7823,3,10
39,No,Sales,7880,3,8
40,Yes,Sales,13194,3,1
47,No,Research & Development,5067,3,19
36,No,Sales,5079,3,7
31,Yes,Research & Development,2321,4,3
33,No,Sales,17444,3,10
29,Yes,Research & Development,2404,4,0
33,No,Research & Development,3452,3,3
45,No,Research & Development,2270,3,5
50,No,Research & Development,17399,4,5
33,No,Research & Development,5488,3,6
41,No,Research & Development,19419,3,18
27,No,Research & Development,2811,3,2
45,No,Research & Development,3633,3,9
47,No,Sales,4163,3,9
30,Yes,Research & Development,2132,3,5
50,No,Research & Development,13973,3,12
38,No,Research & Development,2684,3,2
46,No,Research & Development,10845,3,8
24,No,Research & Development,4377,3,4
35,Yes,Research & Development,3743,4,4
31,No,Research & Development,4148,3,4
18,No,Research & Development,1051,3,0
54,No,Research & Development,10739,3,10
35,No,Research & Development,10388,3,16
30,No,Research & Development,11416,3,8
20,Yes,Research & Development,2600,3,1
30,Yes,Research & Development,2422,3,3
26,No,Research & Development,5472,3,8
22,No,Research & Development,2451,3,4
48,No,Research & Development,4240,3,2
48,No,Research & Development,10999,3,15
41,No,Research & Development,5003,3,2
39,No,Research & Development,12742,3,21
27,No,Research & Development,4227,3,3
35,No,Research & Development,3917,4,3
42,No,Sales,18303,3,1
50,No,Research & Development,2380,3,1
59,No,Research & Development,13726,3,5
37,Yes,Research & Development,4777,3,1
55,No,Research & Development,6385,3,8
41,No,Research & Development,19973,4,21
38,No,Sales,6861,3,1
26,Yes,Sales,4969,3,2
52,Yes,Sales,19845,3,32
44,No,Sales,13320,3,12
50,No,Sales,6347,3,18
36,Yes,Research & Development,2743,3,17
39,No,Research & Development,10880,3,21
33,No,Sales,2342,3,2
45,No,Sales,17650,3,9
32,No,Research & Development,4025,3,8
34,No,Sales,9725,3,15
59,No,Sales,11904,3,6
45,No,Human Resources,2177,3,6
53,No,Sales,7525,3,15
36,Yes,Research & Development,4834,3,1
26,Yes,Research & Development,2042,3,3
34,No,Sales,2220,3,1
28,No,Sales,1052,4,1
38,No,Research & Development,2821,3,2
50,No,Research & Development,19237,3,8
37,No,Research & Development,4107,3,4
40,No,Sales,8396,3,7
26,No,Research & Development,2007,3,5
46,No,Research & Development,19627,3,2
54,No,Sales,10686,3,9
56,No,Research & Development,2942,3,5
36,No,Research & Development,8858,3,14
55,No,Research & Development,16756,3,9
43,No,Sales,10798,3,1
20,Yes,Sales,2323,3,2
21,Yes,Research & Development,1416,3,1
46,No,Research & Development,4615,4,16
51,Yes,Research & Development,2461,3,10
28,Yes,Research & Development,8722,3,10
26,No,Research & Development,3955,3,5
30,No,Research & Development,9957,3,6
41,No,Research & Development,3376,3,10
38,No,Research & Development,8823,3,19
40,No,Research & Development,10322,4,11
27,No,Research & Development,4621,3,3
55,No,Research & Development,10976,3,3
28,No,Research & Development,3660,3,8
44,Yes,Human Resources,10482,3,20
33,No,Research & Development,7119,3,3
35,Yes,Sales,9582,4,8
33,Yes,Research & Development,4508,4,13
28,No,Research & Development,2207,3,4
34,No,Research & Development,7756,3,6
37,No,Sales,6694,3,1
25,Yes,Research & Development,3691,3,7
26,Yes,Research & Development,2377,4,1
33,Yes,Research & Development,2313,4,2
42,No,Research & Development,17665,3,22
28,Yes,Research & Development,2596,3,1
50,Yes,Sales,4728,3,0
33,No,Sales,4302,3,3
34,No,Research & Development,2979,3,0
48,No,Research & Development,16885,4,5
45,No,Sales,5593,3,15
52,No,Research & Development,10445,3,8
38,No,Sales,8740,3,8
29,No,Research & Development,2514,4,7
28,No,Research & Development,7655,3,9
46,No,Sales,17465,3,12
38,No,Sales,7351,3,1
43,No,Research & Development,10820,3,8
39,Yes,Research & Development,12169,3,18
40,No,Research & Development,19626,3,20
21,No,Research & Development,2070,3,2
39,No,Research & Development,6782,3,5
36,No,Research & Development,7779,4,11
31,No,Sales,2791,3,2
28,No,Research & Development,3201,3,5
35,No,Sales,4968,3,5
49,No,Sales,13120,3,9
34,No,Research & Development,4033,3,3
29,No,Research & Development,3291,3,7
42,No,Research & Development,4272,3,1
29,No,Research & Development,5056,3,10
38,No,Human Resources,2844,3,7
28,No,Research & Development,2703,3,3
